big onnx,small onnx,vnnlib,duration (big only),duration (small and big),Rows.DURATION_SMALL_ONLY,classification (big only),classification (small and big),number of splits (big only),number of splits (small and big),falsification by counterexample
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.03.vnnlib,0.08761299999969197,0.21024749999924097,0.09824250000019674,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.03.vnnlib,120.01920570000038,120.71431230000053,120.71431230000053,timeout,timeout,5,434,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.03.vnnlib,10.263804000000164,120.00363660000039,120.00363660000039,unsafe,timeout,1,409,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.03.vnnlib,0.35001310000006924,0.3853746000004321,0.1690416000001278,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.03.vnnlib,0.13592940000125964,0.3433057000002009,0.15942670000004,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.03.vnnlib,0.15950530000009167,0.3261297999997623,0.1478369999986171,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.03.vnnlib,120.05156329999954,130.0054383000006,7.5911887000002025,timeout,timeout,1,16,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.03.vnnlib,0.1654380999989371,0.3134371000014653,0.12508020000132092,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.03.vnnlib,0.1750075999989349,0.38802380000015546,0.14837559999978112,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.03.vnnlib,120.05972699999984,179.8079566000015,47.21442550000029,timeout,timeout,6,93,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.03.vnnlib,0.22655650000160676,0.5671106000008876,0.29454140000052575,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.03.vnnlib,0.2272477999995317,0.41942460000063875,0.17180759999973816,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_12_0.03.vnnlib,25.880802400000903,23.81260619999921,0.1743546999987302,safe,safe,3,3,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_13_0.03.vnnlib,5.122273599999971,7.372337700000571,0.24466530000063358,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_14_0.03.vnnlib,0.2638335999999981,0.4373295000004873,0.1949294000005466,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_0_0.05.vnnlib,120.02711490000002,120.14643629999955,120.14643629999955,timeout,timeout,1,285,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_1_0.05.vnnlib,120.18603020000046,120.01965539999946,120.01965539999946,timeout,timeout,1,117,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_2_0.05.vnnlib,120.10605480000049,120.03269510000064,120.03269510000064,timeout,timeout,1,183,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_3_0.05.vnnlib,0.20756120000078226,0.4648029999989376,0.2417939999995724,safe,safe,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_4_0.05.vnnlib,120.09212259999913,201.91128400000161,62.71942790000139,timeout,timeout,1,115,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_5_0.05.vnnlib,120.14249859999836,230.98023000000103,12.192815000000337,timeout,timeout,1,45,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_6_0.05.vnnlib,120.21583109999847,120.01536080000005,120.01536080000005,timeout,timeout,1,247,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_7_0.05.vnnlib,120.09757200000058,258.2032920999991,0.7503842999994959,timeout,timeout,8,20,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_8_0.05.vnnlib,120.07530430000043,120.01234180000029,120.01234180000029,timeout,timeout,1,300,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_9_0.05.vnnlib,120.19322579999971,120.30481280000095,120.30481280000095,timeout,timeout,1,287,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_10_0.05.vnnlib,120.14807870000004,120.0131949000006,120.0131949000006,timeout,timeout,2,335,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_11_0.05.vnnlib,120.05143489999864,138.67938049999975,13.242151299999023,timeout,timeout,5,42,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_12_0.05.vnnlib,120.12024620000011,120.23769979999997,0.09993130000111705,timeout,timeout,1,1,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_13_0.05.vnnlib,120.05958660000033,120.01961630000005,120.01961630000005,timeout,timeout,1,186,0
vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx/2024_02_20_10_46_42_options.json_Options__0.9854999780654907_f1Score__19_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\onnx_small/2024_02_21_11_00_00_options.json_Options__0.970300018787384_f1Score__16_Epoch.onnx,vnncomp2022_benchmarks/benchmarks\mnist_fc\vnnlib/prop_14_0.05.vnnlib,120.08456569999908,128.79640839999956,6.868748799999594,timeout,timeout,1,16,0
